name,address,rating,review_count,rating_summary,facilites,price,offer
OYO 72593 Adarsh Farm,"Alandi, Pune", , , ,  Parking Facility  Queen Sized Bed  Attached Bathroom ,Rs. 499,40% off
OYO 71151 Hotel 7 Treats,"Near SNBP School, Mundhwa - Manjari Road, Pune",3.4, ,(201 Ratings),  Parking Facility  Fan  First Aid ,Rs. 499,40% off
OYO Home 70067 Peaceful Stay Swargate,"Balajinagar Dhankawadi, Pune", , ,(535 Ratings),  Parking Facility  Partial Power backup  Geyser ,Rs. 898,40% off
OYO Home 49461 Enticing Stay Fursungi Road,"Saswad Rd, Fursungi, Pune", , ,(760 Ratings),  Kitchen  Geyser  Shower Head ,Rs. 898,40% off
SPOT ON 38096 Hotel Aangan SPOT,"Near VN'S Cinemas, Pune", , , ,  AC  First Aid  Daily Housekeeping ,Rs. 499,40% off
OYO 17342 Aditya Service Apartment,"Near Xion Mall, Pune",3, ,(34 Ratings),  Parking Facility  Attached Bathroom  TV ,Rs. 700,58% off
SPOT ON 38603 Niwant Lodge SPOT,"Pandharpur Road, Pune", , ,(636 Ratings),  Fan  Attached Bathroom  Daily Housekeeping ,Rs. 499,40% off
OYO 61337 Hotel Mauli,"Near KK care hospital, Pune- Alandi Road, Pune", , ,(68 Ratings),  Parking Facility  Fan  First Aid ,Rs. 699,40% off
Capital O 67056 Mybhumi Agro Resort ,"Near Rajendra Agro Agencies, Bankar Phata, Pune", , ,(12 Ratings),  TV  AC ,Rs. 999,40% off
SPOT ON 66795 Hotel Abhijeet SPOT,"Near Mhasoba Temple, Dumbarwadi, Pune", , ,(2 Ratings),  TV  AC ,Rs. 699,40% off
Capital O 38128 Omkar Executive,"Near Selfie Park, Pune", , ,(1012 Ratings),  Daily Housekeeping  Elevator  AC ,Rs. 1000,40% off
Capital O 2586 Hotel Vikrant Residency,"Near E Square Mall, Pimpri, Pune", , ,(786 Ratings),  Hair Dryer  Coffee/Tea Maker  Seating Area ,Rs. 999,42% off
Capital O 37456 Arusai,"Near Aditya Birla Hospital, Thergaon, Pune", , ,(467 Ratings),  Intercom  First Aid  Fan ,Rs. 999,40% off
OYO 63407 Hotel Rajawat Lodging,"NH48 , Pargaon, Satara", , , ,  Parking Facility  Attached Bathroom  TV ,Rs. 499,40% off
Capital O 11207 Gharonda Residency Deluxe,"Morewadi, Pimpri, Pune", , ,(1008 Ratings),  Center Table  Center Table  Seating Area ,Rs. 999,40% off
OYO 36896 Sanvi Resort,"Ghera Sinhagad, Pune",3.4, ,(50 Ratings),  Parking Facility  Queen Sized Bed  Attached Bathroom ,Rs. 699,40% off
OYO 46538 Hotel Gokul Lodge,"Near New Golden Bakery, Wadgaon Bridge, Pune", , ,(277 Ratings),  Intercom  Fan  Queen Sized Bed ,Rs. 699,40% off
OYO 40635 Hotel Shloka,"Near Dange Chowk, Pune", , ,(61 Ratings),  Parking Facility  Queen Sized Bed  Attached Bathroom ,Rs. 700,40% off
OYO 19315 Samudra Executive,"Near Rajyog Mangal Karyalay, Hadapsar, Pune", , ,(212 Ratings),  Queen Sized Bed  Attached Bathroom  Daily Housekeeping ,Rs. 700,57% off
OYO 71465 Gangotri Hill Top Resort,"Near Bopdev Temple, Askarwadi, Pune",3, ,(1 Ratings),  Kitchen  Attached Bathroom  TV ,Rs. 600,40% off
OYO 71056 Bramha Lodge,"Near Podar International School, Ambegaon BK, Pune",3, ,(5 Ratings),  Parking Facility  First Aid  Attached Bathroom ,Rs. 600,40% off
OYO 70264 Hotel Vrindavan,"Narhe Ambegaon Road, Narhe, Pune", , , ,  Parking Facility  Kitchen  First Aid ,Rs. 600,40% off
OYO 68503 Asha Inn,"Near HP Petrol pump, Satara road, Pune", , ,(28 Ratings),  Toiletries  Queen Sized Bed  Attached Bathroom ,Rs. 600,40% off
OYO 7275 Excellent Homes,"Near Varsha Park, Baner Road, Pune", , ,(11 Ratings),  Parking Facility  Kitchen  AC ,Rs. 799,74% off
OYO 27740 Anantha Residency Deluxe,"Near Shree Sai Hospital, Pune", , ,(20 Ratings),  Center Table  Parking Facility  Kitchen ,Rs. 800,72% off
OYO 67880 Sai Executive ,"Opp Atul Nagar, Warje, Pune", , ,(87 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 799,40% off
OYO 69560 Hotel Kaveri Lodge,"Dighi Road, Geeta Society, Pune", , ,(146 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 799,40% off
OYO 66600 Hotel Shivsai Palace,"Near Eon IT Park, Down Town Road, Kharadi, Pune", , ,(116 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 799,40% off
OYO 16007 SK Executive Deluxe,"Near Tanaji Patil Nagar, Pune", , ,(76 Ratings),  Parking Facility  Fan  TV ,Rs. 799,65% off
OYO 70002 Hotel Hill View Deluxe,"Mulshi-Paud Road, Valane", , ,(1 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 699,40% off
SPOT ON 67488 Hotel Trimbak Raj SPOT,"Near Gurukrupa Hostel, Varangwadi, Pune", , ,(7 Ratings),  TV  AC ,Rs. 900,40% off
OYO 13283 Hotel Gargi Inn,"Near Colombia Asia Hospital, Kranti Chowk, Pune", , ,(47 Ratings),  Parking Facility  AC  TV ,Rs. 899,51% off
SPOT ON 61450 Hotel Sai Palace Lodging Deluxe,"Chakan Rd, Induri, Pune", , ,(39 Ratings),  Parking Facility  Card Payment  TV ,Rs. 900,40% off
SPOT ON 62264 Hotel Chul Jatra  SPOT,"Near Ray Steel Group Mahaganpati Steel, Pune",3.4, ,(75 Ratings),  Parking Facility  In-house Restaurant  Kitchen ,Rs. 412,40% off
OYO 18270 Eon Studio Apartments,"Near Wai Urban Bank, Dattanagar Katraj, Pune", , ,(18 Ratings),  AC  TV  Queen Sized Bed ,Rs. 899,52% off
OYO 11566 Shree Swami Apartment,"Near Bachpan school, Shivatej Nagar, Pune", , ,(75 Ratings),  Parking Facility  AC  TV ,Rs. 899,57% off
OYO 63548 Hotel Zri 24,"Near Phoenix Market City, Pune", , ,(85 Ratings),  Attached Bathroom  Daily Housekeeping  TV ,Rs. 999,40% off
OYO 72015 Sai Resort,"Dst- Pune, Pune", , , ,  Parking Facility  Attached Bathroom  TV ,Rs. 799,40% off
OYO 45583 Hotel Galaxy,"Near Koregaon Park, Lane Number 7, Pune", , ,(277 Ratings),  Attached Bathroom  Daily Housekeeping  CCTV Cameras ,Rs. 1000,40% off
OYO 11545 Hotel Gargi executive,"Dnyaneshwar Paduka Chowk, Shivaji Nagar, Pune", , ,(152 Ratings),  Parking Facility  Queen Sized Bed  TV ,Rs. 999,64% off
OYO 40687 Silver Star Executive,"Near Wadgaon-Narhe Road, Pune", , ,(17 Ratings),  Parking Facility  First Aid  Fan ,Rs. 1000,40% off
OYO 47376 Ekab Hospitality,"Behind Bhagyashree Executive, Pune", , ,(210 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 1000,40% off
OYO 28674 Orchid Platinum Guest House,"Near Aundh IT Park, Pune", , ,(415 Ratings),  Parking Facility  Kitchen  Queen Sized Bed ,Rs. 1000,40% off
Capital O 48136 Sahara,"Senapati Bapat Road, Pune", , ,(1069 Ratings),  Center Table  Parking Facility  Kitchen ,Rs. 1600,40% off
OYO 22218 Aero Studio,"Near Sanjay Park, Pune", , ,(295 Ratings),  Kitchen  AC  TV ,Rs. 1300,41% off
OYO 11499 Hotel Padma Krishna,"Manglawar Peth, Barne Road, Pune", , ,(502 Ratings),  Seating Area  Intercom  Single Bed ,Rs. 1299,50% off
Capital O 62219 Hotel Raigad ,"Near Surya Hospital, Shikrapur, Pune", , ,(319 Ratings),  Parking Facility  Kitchen  Bar ,Rs. 899,40% off
OYO 64438 Blue Inn,"Near Kharadi Bypass Police Chowky, Ubale Nagar, Pune", , ,(146 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 799,40% off
OYO 19891 Vansha Exotica,"Near Sukhwani Scarlet, Wagholi, Pune", , ,(79 Ratings),  Attached Bathroom  Daily Housekeeping  TV ,Rs. 999,40% off
OYO 40158 Rahul Executive,"Phulgaon Phata, Lonikand, Pune", , ,(65 Ratings),  Seating Area  Single Bed  King Sized Bed ,Rs. 1000,40% off
OYO 24125 Hotel Aakash,"Near Diamond Water Park, Wagholi, Pune", , ,(8 Ratings),  Parking Facility  Kitchen  Bar ,Rs. 2413,40% off
OYO Home 69892 Elegant Stay,"Near HP Petrol Pump, Pimpri-Chinchwad, Pune", , ,(126 Ratings),  AC  Shower Head  Attached Bathroom , , 
